TRU,START_DATE,END_DATE,STATUS_DESCRIPTION,STREET_ACTIVITY,PREMISE_NO,STREET_NAME,BOROUGH,ZIP_CODE,FACILITY_AKA,FACILITY_TYPE,BIN,BLOCK,LOT,CROSS_STREET_ON,CROSS_STREET_BETWEEN,CROSS_STREET_AND,BUILDING_OWNER_NAME,CONTRACTOR_NAME,AIR_MONITOR_NAME,ENTIRE_FLOOR,FLOOR,SECTION,ACM_TYPE,ACM_AMOUNT,ACM_UNIT,ABATEMENT_TYPE,PROCEDURE_NAME,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA
TRU5890BK17,01/05/2018 12:00:00 AM,12/27/2018 12:00:00 AM,Closed,No,432,Monroe Street,Brooklyn,11221,P.S. 44(K) @K044,School,3051540,01821,0001,,,,NYC School Construction Authority (NYCSCA),Citywide Environmental Services LLC,Airtek Environmental Corporation,No,3,Room 313,VAT/mastic,790,Square Feet,Removal,Interior Foam,40.686592,-73.940747,3,36,277,3018210001,Stuyvesant Heights
TRU5000BX18,12/29/2017 12:00:00 AM,01/01/2019 12:00:00 AM,Closed,No,501,Courtlandt Avenue,Bronx,10451,X807,School,2000876,02329,0075,,,,NYC School Construction Authority (NYCSCA),"M&N General Services, Inc.","SAI Environmental Consultants, Inc.",No,1st Floor,Room 102,Pipe Insulation,36,Linear Feet,Removal,Tent,40.815396,-73.920083,1,8,65,2023290075,Melrose South-Mott Haven North
TRU5482BX17,01/12/2018 12:00:00 AM,12/28/2018 12:00:00 AM,Closed,No,2049,Ryer Ave,Bronx,10457,,Residence,2013666,03156,0070,,,,Ryer Avenune MM LLC,New York Insulation Inc.,The ALC Group LLC dba ALC Environmental,No,Roof,Main Roof,Perimeter Tar,140,Square Feet,Removal,Exterior Vertical Surface,40.851736,-73.901229,5,15,381,2031560071,Mount Hope
TRU5156QN18,03/05/2018 12:00:00 AM,02/22/2019 12:00:00 AM,Closed,No,65-46,Parsons Blvd,Queens,11365,Pomonok Houses Bldg.# 6,Residence,4455419,06792,0030,,,,New York City Housing Authority (NYCHA),"AMC United, Inc.",Airtek Environmental Corporation,No,1,1C,VAT,688,Square Feet,Removal,VAT Protocol in NYCHA Apt,40.735158,-73.810608,8,24,122702,4067920030,Pomonok-Flushing Heights-Hillcrest
TRU5340MN18,03/19/2018 12:00:00 AM,02/13/2019 12:00:00 AM,Submitted,No,10,East End Avenue,Manhattan,10075,,Residence,1050768,01576,0027,,,,10 East End Ave Owners Inc c/o Wallack Mgmt LLC,New York Insulation Inc.,"GCI Environmental Advisory, Inc.",No,6,P3- Apt 6E Bedroom - Riser # 16,Pipe Insulation,12,Linear Feet,Removal,DEP Variance,40.770819,-73.947781,8,5,136,1015760027,Yorkville
TRU5719MN18,04/09/2018 12:00:00 AM,03/28/2019 12:00:00 AM,Submitted,No,463,West Street,Manhattan,10014,55 Bethune Street,Residence,1012047,00639,0001,,,,Westbeth Corp HDFC Inc.,New York Insulation Inc.,"Assessment Resources & Technologies, Inc.",No,10,Light Well - West Elevation Exterior Facade,Window Glaze,4,Square Feet,Removal,DEP Variance,40.736757,-74.009959,2,3,79,1006390001,West Village
TRU5041BK18,02/20/2018 12:00:00 AM,01/10/2019 12:00:00 AM,Closed,No,510,Clermont Avenue,Brooklyn,11238,PS 753 SPED(K085),School,3057521,02008,0001,,,,NYC School Construction Authority (NYCSCA),"Empire Control Abatement, Inc.","Louis Berger & Assoc., P.C.",No,1,Rm 133 - Locker,Tar Inside Speaker,2,Square Feet,Removal,DEP Variance,40.682533,-73.968769,2,35,179,3020080001,Fort Greene
TRU5719MN18,04/09/2018 12:00:00 AM,03/28/2019 12:00:00 AM,Submitted,No,463,West Street,Manhattan,10014,55 Bethune Street,Residence,1012047,00639,0001,,,,Westbeth Corp HDFC Inc.,New York Insulation Inc.,"Assessment Resources & Technologies, Inc.",No,4,Light Well - West Elevation Exterior Facade,Window Glaze,4,Square Feet,Removal,DEP Variance,40.736757,-74.009959,2,3,79,1006390001,West Village
TRU6218MN17,12/20/2017 12:00:00 AM,12/12/2018 12:00:00 AM,Submitted,No,2537,Adam Clayton Powell Jr Blvd,Manhattan,10039,"Samuel Houses, Bldg 10, Contract # BW1505555",Residence,1079768,02015,0005,,,,New York City Housing Authority (NYCHA),"S & N Builders, Inc.",Athenica Environmental Services Inc.,No,6th,Exterior Facade Elevations:1 to 6,Window Caulking,9,Square Feet,Removal,Exterior Vertical Surface,40.822741,-73.938256,10,9,234,1020150005,Central Harlem North-Polo Grounds
TRU5468MN18,03/13/2018 12:00:00 AM,02/27/2019 12:00:00 AM,Submitted,No,15,Saint James Place,Manhattan,10038,Smith Houses Bldg 9,Residence,1077418,00111,0100,,,,New York City Housing Authority (NYCHA),"New York Environmental Systems, Inc.",The ALC Group LLC dba ALC Environmental,No,17th,17I,VAT,515,Square Feet,Removal,VAT Protocol in NYCHA Apt,40.711571,-73.999903,3,1,25,1001110100,Chinatown
TRU5284BK18,03/02/2018 12:00:00 AM,02/21/2019 12:00:00 AM,Closed,No,259,Bristol Street,Brooklyn,11212,Family Brownsville Health Center,Other,3081765,03559,0011,,,,NYC Dept of Health & Mental Hygiene (DOHMH),"All Clean Environmental, LLC",3E Environmental Inc.,No,2nd,Room 3A,Radiator Heat Panels,4,Square Feet,Removal,Tent,40.664827,-73.911415,16,41,924,3035590011,Brownsville
TRU5289BK18,03/09/2018 12:00:00 AM,02/21/2019 12:00:00 AM,Submitted,No,1709,Coney Island Avenue,Brooklyn,11230,,Residence,3180777,06740,0057,,,,Shmuel Soleimani,"Alba Environmental, Inc.",Enviro-Pro Unltd Corp.,No,1-2 Floor,"Front, Back, and South Side",Window Caulking,50,Square Feet,Removal,Exterior Vertical Surface,40.61588,-73.96348,14,48,768,3067400057,Midwood
TRU6222MN17,12/22/2017 12:00:00 AM,12/13/2018 12:00:00 AM,Submitted,No,131,Avenue of the Americas,Manhattan,10013,M615,School,1007378,00491,0016,,,,NYC School Construction Authority (NYCSCA),ABC Construction Contracting Inc.,Airtek Environmental Corporation,No,3rd Floor,Room #309,Wall Plaster,4,Square Feet,Removal,Tent,40.7244,-74.004625,2,3,37,1004910016,SoHo-TriBeCa-Civic Center-Little Italy
TRU5233BK18,03/02/2018 12:00:00 AM,02/14/2019 12:00:00 AM,Submitted,No,84,Schaefer Street,Brooklyn,11207,PS 45 K,School,3079428,03427,0011,,,,NYC School Construction Authority (NYCSCA),U.S. Environmental Abatement Corp.,"SAI Environmental Consultants, Inc.",No,3rd,Room 326,VAT / Mastic,352,Square Feet,Removal,Interior Foam,40.686746,-73.910693,4,37,401,3034270011,Bushwick South
TRU5217MN18,02/28/2018 12:00:00 AM,01/29/2019 12:00:00 AM,Submitted,No,216,WEST 62nd. STREET,Manhattan,10023,Amsterdam Houses Bldg. # 4 Contract BW1313869,Residence,1082577,01154,0101,,,,New York City Housing Authority (NYCHA),M.A.B. Renovation Group Corp.,"Warren & Panzer, Engineers, P.C",No,3,Exterior Facade-Mod A1-Elev# 1-8,Tar/Flashing at Lintel,16,Square Feet,Removal,Exterior Vertical Surface,40.773259,-73.987974,7,6,151,1011540101,Lincoln Square
TRU5062QN18,02/02/2018 12:00:00 AM,01/24/2019 12:00:00 AM,Postponed,No,179,Beach 142nd street,Queens,11694,,Residence,4306970,16316,0016,,,,Norman Seidenfeld,Darshel Construction Corp.,Dancy Environmental,No,Basement,Back side,Lenolium Flooring StairCase,50,Square Feet,Removal,Interior Foam,40.571093,-73.858058,14,32,922,4163160016,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
TRU5210BX18,03/27/2018 12:00:00 AM,03/01/2019 12:00:00 AM,Submitted,No,530,Olmstead Avenue,Bronx,10473,"BW1519745 - Castle Hill, Bld. #7",Residence,2092632,03534,0001,,,,New York City Housing Authority (NYCHA),P & K Contracting Inc. dba Construction Concepts,Athenica Environmental Services Inc.,No,Roof,Bulkhead  Elevation A - D,Sills Contaminated with ACM Caulking,8,Square Feet,Removal,Exterior Vertical Surface,40.817021,-73.850708,9,18,86,2035340001,Soundview-Castle Hill-Clason Point-Harding Park
TRU5224BK18,03/01/2018 12:00:00 AM,02/12/2019 12:00:00 AM,Submitted,No,2719,West 33rd Street,Brooklyn,11224,NYCHA Gravesend Bld. #13 - GR1508593,,3331098,06964,0002,,,,New York City Housing Authority (NYCHA),Maven Construction Corp.,Genesis Environmental Consultants Inc.,No,7,Exterior Facade - Elevation A - D,Contaminated Brick at Roof Edge,1009,Square Feet,Removal,Exterior Vertical Surface,40.579473,-74.000414,13,47,330,3069640002,Seagate-Coney Island
TRU6290MN17,01/02/2018 12:00:00 AM,12/25/2018 12:00:00 AM,Closed,No,250,East 87th Street,Manhattan,10128,,Residence,1048799,01532,0022,,,,Jane Leingang,Alvo Corp.,"JLC Environmental Consultants, Inc.",No,2nd,"Apt 2B, kitchen",Ceiling plaster,100,Square Feet,Removal,Tent,40.779011,-73.95236,8,5,14602,1015320022,Yorkville
TRU5239BK18,02/26/2018 12:00:00 AM,02/14/2019 12:00:00 AM,Submitted,No,130,92 street,Brooklyn,11209,,,3155011,06101,0019,,,,Alexandra Maresca,Barros Construction Corp.,"Parker House Service, Inc.",No,1st floor,porch next to the kitchen,Asbesto contained linoleum,100,Square Feet,Removal,Interior Foam,40.620326,-74.037034,10,43,5202,3061010019,Bay Ridge
TRU5235QN18,04/25/2018 12:00:00 AM,03/18/2019 12:00:00 AM,Submitted,No,29-27,Queens Plaza North,Queens,11101,Queens Plaza Park,Commercial,4004872,00403,0009,,,,"QPP,LLC","ETS Contracting, Inc.",Langan Engineering Environmental Surveying and Lan,No,5,office space,Vat/Mastic,3400,Square Feet,Removal,DEP Variance,40.749915,-73.93663,1,26,33,4004030009,Queensbridge-Ravenswood-Long Island City
TRU5304BK18,03/19/2018 12:00:00 AM,02/25/2019 12:00:00 AM,Postponed,No,3213,Farragut Road,Brooklyn,11210,,Other,3411060,04996,0001,,,,Bel Community Housing Associates,"New Style Contractors, Inc.","A & B Inspection Services, Corp.",Yes,basement,,wall sheetrock,1000,Square Feet,Removal,Subchapter G,40.636409,-73.945879,17,45,788,3049960001,Flatbush
TRU6210MN17,12/26/2017 12:00:00 AM,12/12/2018 12:00:00 AM,Submitted,No,40,West 4th Street,Manhattan,10012,NYU Tisch Hall,Other,1077346,00535,0001,,,,German Roa,JVN Restoration Inc.,Airtek Environmental Corporation,No,9th,Office 911 / 912,Ceiling Spray-on Fireproofing,12,Square Feet,Removal,Tent,40.729267,-73.996006,2,1,5501,1005350001,West Village
TRU5223BK18,02/27/2018 12:00:00 AM,02/12/2019 12:00:00 AM,Submitted,No,2703,West 33rd Street,Brooklyn,11224,NYCHA Gravesend Bld. #3 - GR1508593,,3331084,06964,0002,,,,New York City Housing Authority (NYCHA),Maven Construction Corp.,Genesis Environmental Consultants Inc.,No,2,Exterior Facade - Elevation A - D,Window Lintel Asphalt Paper / Flashing Cement,2,Square Feet,Removal,Exterior Vertical Surface,40.579863,-74.000482,13,47,330,3069640002,Seagate-Coney Island
TRU5058MN18,01/19/2018 12:00:00 AM,01/09/2019 12:00:00 AM,Submitted,No,888,Broadway,Manhattan,10003,22-32 e 19 St,Commercial,1016154,00847,7501,,,,880 Broadway Owner LLC,New York Insulation Inc.,Airtek Environmental Corporation,No,5,Retail Area,Pipe Insulation,18,Linear Feet,Removal,Tent & Glovebag,40.738384,-73.989965,5,2,52,1008477501,Hudson Yards-Chelsea-Flatiron-Union Square
TRU5104BK18,01/30/2018 12:00:00 AM,01/22/2019 12:00:00 AM,Submitted,No,413,Baltic Street,Brooklyn,11217,"NYCHA Gowanus, Bld. #6 - GR1429247",,3323297,00392,0001,,,,New York City Housing Authority (NYCHA),Maven Construction Corp.,Genesis Environmental Consultants Inc.,No,4,Exterior Facade,Masonry Waterproofing,2,Square Feet,Removal,Exterior Vertical Surface,40.683753,-73.98901,6,33,71,3003920001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
TRU5127MN18,01/29/2018 12:00:00 AM,01/18/2019 12:00:00 AM,Submitted,No,163,Varick Street,Manhattan,10013,,Commercial,1009749,00580,0019,,,,APF 60 Charlton Owner LP,New York Insulation Inc.,The ALC Group LLC dba ALC Environmental,No,Roof,Skylight,Tar,40,Square Feet,Removal,Exterior Foam,40.726799,-74.00561,2,3,37,1005800019,SoHo-TriBeCa-Civic Center-Little Italy
TRU5150QN18,03/05/2018 12:00:00 AM,02/21/2019 12:00:00 AM,Closed,No,72-22,68th Street,Queens,11385,,Residence,4090312,03702,0033,,,,Fr. Francis J. Hughes,"The Asbestos Contractor, Inc.",Advanced Environmental Corp.,No,Basement,Rectory Boiler Room,pipe insulation,248,Linear Feet,Removal,Tent,40.701294,-73.884003,5,30,629,4037020033,Glendale
TRU5814BK17,02/16/2018 12:00:00 AM,12/12/2018 12:00:00 AM,Submitted,No,18,MARLBOROUGH ROAD,Brooklyn,11226,P.S 249,School,3116438,05075,0001,,,,NYC School Construction Authority (NYCSCA),"Insaren, Inc.","J.C. Broderick & Associates, Inc.",No,FIRST,GUIDANCE OFFICE,PIPE INSULATION,2,Linear Feet,Removal,DEP Variance,40.64971,-73.966046,14,40,506,3050750001,Flatbush
TRU5488BK18,04/10/2018 12:00:00 AM,03/27/2019 12:00:00 AM,Submitted,No,3225,Neptune Avenue,Brooklyn,11224,NYCHA Gravesend Bld. #1 - GR1508593,,3331097,06964,0002,,,,New York City Housing Authority (NYCHA),Maven Construction Corp.,Genesis Environmental Consultants Inc.,No,Roof,Perimeter - Rail Post Base,Pitch Pockets,91,Square Feet,Removal,Exterior Foam,40.577329,-73.999456,13,47,330,3069640002,Seagate-Coney Island
TRU5256MN18,02/16/2018 12:00:00 AM,02/04/2019 12:00:00 AM,Postponed,No,645,Madison Ave,Manhattan,10022,,,1040762,01374,0049,,,,Jona Schmidt,ESG Inc.,Amiantos LLC,No,8th floor,North wall/ West wall,concealed frame tar,128,Square Feet,Removal,Tent,40.763987,-73.97111,8,4,11401,1013740049,Upper East Side-Carnegie Hill
TRU5364BK18,03/19/2018 12:00:00 AM,03/06/2019 12:00:00 AM,Submitted,No,18,Bergen Street,Brooklyn,11201,,Other,3005722,00384,0016,,,,Mary McDowell Friends School,AGG Environmental Corp.,Airtek Environmental Corporation,No,roof,main roof,roof membrane,1600,Square Feet,Removal,Exterior Foam,40.687571,-73.992633,2,33,69,3003840015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
