KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
1410092,RIDGEWOOD,11385,06/07/2014,06/17/2014,19,0.089
1410161,STATEN ISLAND,10306,06/07/2014,06/19/2014,1,0.145
1410201,STATEN ISLAND,10305,06/07/2014,06/13/2014,0,0.051
1410007,New York,10010,06/07/2014,06/13/2014,0,0.143
1410118,MASPETH,11378,06/08/2014,06/11/2014,4,0.107
1410193,STATEN ISLAND,10314,06/08/2014,06/13/2014,1,0.162
1410017,KEW GARDENS,11415,06/08/2014,06/12/2014,0,0.061
1410143,STATEN ISLAND,10309,06/08/2014,06/11/2014,0,0.098
13100232,FLUSHING,11358,06/08/2014,06/12/2014,7,0.125
1410056,BRONX,10461,06/08/2014,06/11/2014,6,0.132
1410006,BAYSIDE,11361,06/08/2014,06/11/2014,2,0.203
1410221,STATEN ISLAND,10310,06/08/2014,06/17/2014,0,0.15
1410189,STATEN ISLAND,10304,06/08/2014,06/11/2014,26,0.164
1410177,STATEN ISLAND,10306,06/08/2014,06/12/2014,4,0.158
1410145,STATEN ISLAND,10306,06/08/2014,06/11/2014,1,0.136
1410100,FLUSHING,11358,06/08/2014,06/12/2014,19,0.15
1410140,STATEN ISLAND,10306,06/08/2014,06/12/2014,0,0.124
1410012,HOLLIS,11423,06/09/2014,06/12/2014,14,0.067
1410055,SOUTH RICHMOND HILL,11419,06/09/2014,06/11/2014,5,0.089
1410020,STATEN ISLAND,10303,06/09/2014,06/11/2014,0,0.153
1410128,FOREST HILLS,11375,06/09/2014,06/11/2014,5,0.113
1410220,STATEN ISLAND,10308,06/09/2014,06/17/2014,0,0.152
1410168,STATEN ISLAND,10312,06/09/2014,06/17/2014,0,0.119
1410087,ELMHURST,11373,06/09/2014,06/11/2014,11,0.158
1410144,STATEN ISLAND,10308,06/09/2014,06/11/2014,9,0.154
1410158,STATEN ISLAND,10312,06/09/2014,06/12/2014,30,0.114
1410159,STATEN ISLAND,10308,06/09/2014,06/11/2014,2,0.104
1410053,ASTORIA,11102,06/09/2014,06/11/2014,7,0.118
1410029,JAMAICA,11432,06/09/2014,06/12/2014,1,0.081
1410011,BRONX,10457,06/09/2014,06/11/2014,0,0.156
1410104,FLUSHING,11354,06/09/2014,06/18/2014,4,0.189
1410156,STATEN ISLAND,10306,06/09/2014,06/12/2014,2,0.147
1410162,STATEN ISLAND,10306,06/09/2014,06/12/2014,0,0.152
1410008,STATEN ISLAND,10308,06/09/2014,06/13/2014,1,0.113
1410208,STATEN ISLAND,10312,06/09/2014,06/11/2014,1,0.106
1410103,FLUSHING,11358,06/09/2014,06/11/2014,8,0.107
1410068,BROOKLYN,11228,06/09/2014,06/19/2014,24,0.155
1410165,STATEN ISLAND,10314,06/09/2014,06/13/2014,0,0.107
1410030,HOWARD BEACH,11414,06/10/2014,06/16/2014,0,0.107
1410164,STATEN ISLAND,10303,06/10/2014,06/13/2014,0,0.11
1410080,BRONX,10464,06/10/2014,06/18/2014,11,0.145
1410219,STATEN ISLAND,10309,06/10/2014,06/16/2014,0,0.049
1410185,STATEN ISLAND,10309,06/10/2014,06/13/2014,0,0.077
1410237,WOODHAVEN,11421,06/10/2014,06/13/2014,1,0.095
1410146,STATEN ISLAND,10306,06/10/2014,06/13/2014,0,0.196
1410004,BROOKLYN,11223,06/10/2014,06/12/2014,9,0.126
1410083,FOREST HILLS,11375,06/10/2014,06/13/2014,7,0.065
1410016,JAMAICA,11433,06/10/2014,06/17/2014,0,0.184
1410045,STATEN ISLAND,10301,06/10/2014,06/13/2014,6,0.176
1410180,STATEN ISLAND,10314,06/10/2014,06/17/2014,2,0.25
1410213,BROOKLYN,11223,06/10/2014,06/13/2014,5,0.074
1410253,BRONX,10463,06/10/2014,06/12/2014,5,0.101
1410172,STATEN ISLAND,10312,06/10/2014,06/13/2014,0,0.107
1410067,WOODSIDE,11377,06/10/2014,06/17/2014,18,0.103
1410027,KEW GARDENS,11415,06/10/2014,06/13/2014,2,0.092
1410094,FLUSHING,11358,06/10/2014,06/17/2014,8,0.162
1410163,STATEN ISLAND,10305,06/10/2014,06/13/2014,0,0.104
1410171,STATEN ISLAND,10309,06/10/2014,06/13/2014,0,0.021
1410170,STATEN ISLAND,10307,06/10/2014,06/13/2014,0,0.197
1410125,BROOKLYN,11207,06/10/2014,06/16/2014,0,0.053
1410044,BROOKLYN,11212,06/10/2014,06/20/2014,0,0.141
1410242,STATEN ISLAND,10309,06/10/2014,06/13/2014,46,0.817
1410255,BROOKLYN,11232,06/11/2014,06/17/2014,8,0.126
1410130,FAR ROCKAWAY,11691,06/11/2014,06/16/2014,1,0.231
1410093,MASPETH,11378,06/11/2014,06/17/2014,23,0.07
1410152,STATEN ISLAND,10306,06/11/2014,06/17/2014,0,0.112
